MDL_Raw,SPR_Raw,HRPU_Raw,SDC_Raw,LTK_Raw,X2MR_Finish,age,hgt_in,wt_lb,BMI,Sex,IOCT_time
300,11.5,27,1.65,8,12.916666666666666,21,74,205,27.10304129,Male,2.683333333333333
170,7.3,14,2.033333333333333,3,15.65,23,67,165,24.68351901,Female,2.566666666666667
300,9.3,46,1.6333333333333333,15,14.4,21,68,179,27.30923463,Male,2.4833333333333334
160,6.7,11,1.8833333333333333,0,16.15,21,67,167,24.68351901,Female,4.433333333333334
220,7.9,26,1.8833333333333333,4,14.733333333333333,21,69,167,23.29318202,Male,3.183333333333333
340,12.6,42,1.4833333333333334,18,14.966666666666667,25,68,200,31.23297524,Male,2.8
240,8.8,42,1.45,20,12.116666666666667,22,71,170,23.48023668,Male,2.5833333333333335
240,10.8,26,1.55,13,14.233333333333333,22,72,188,25.55069644,Male,2.8666666666666667
300,9.4,39,1.55,11,14.3,21,73,190,24.4455632,Male,2.783333333333333
300,9.5,52,1.5666666666666667,13,13.65,21,67,172,25.75009082,Male,2.783333333333333
160,402,21,2.05,4,14.316666666666666,24,64,127,21.50106395,Female,3.533333333333333
160,6.2,17,2.1666666666666665,0,19.05,21,72,191,26.55502958,Female,4.866666666666666
300,10.6,47,1.4666666666666666,20,12.716666666666667,24,70,186,27.52483021,Male,2.6
240,9.9,35,1.5833333333333333,12,13.233333333333333,22,71,169,23.58075217,Male,2.55
300,11.4,40,1.2666666666666666,15,16.216666666666665,21,72,194,27.11408283,Male,2.533333333333333
150,3.4,10,2.95,3,17.383333333333333,24,60,110,21.85896618,Female,4.066666666666666
200,8.6,38,1.6166666666666667,22,15.066666666666666,21,68,157,24.17024215,Male,2.8666666666666667
340,12,45,1.4666666666666666,10,14.216666666666667,21,74,214,27.76409108,Male,2.55
140,8.3,16,1.8333333333333333,1,17.466666666666665,21,68,201,30.32111286,Female,4.383333333333334
240,10.2,32,1.6,11,13.766666666666667,22,72,185,25.0070646,Male,2.75
260,8,46,1.4833333333333334,20,13.65,21,66,155,24.17024215,Male,2.4166666666666665
260,9,35,1.6833333333333333,10,14.583333333333334,21,70,188,26.7440238,Male,3.05
200,9.4,27,1.9166666666666667,10,17.25,22,72,201,27.045684,Male,3.033333333333333
300,9.8,36,1.4166666666666667,12,13.283333333333333,22,74,176,22.60790274,Male,2.5833333333333335
300,8.3,41,1.65,16,15.9,22,68,154,22.49340964,Male,2.066666666666667
220,7.4,23,1.7666666666666666,6,15.166666666666666,22,65,165,25.87867268,Female,4.6
160,3.9,20,2.5,5,19.05,22,66,142,23.01241827,Female,4.45
300,12.1,28,1.4666666666666666,2,16.083333333333332,22,72,239,31.06934002,Male,2.95
300,11.1,33,1.65,7,12.983333333333333,26,74,188,22.92125796,Male,2.533333333333333
160,5.3,18,2.35,3,18.133333333333333,22,64,128,21.32905544,Female,3.033333333333333
340,12.2,46,1.35,17,13.55,21,73,211,28.13294768,Male,2.433333333333333
300,10.4,37,1.5666666666666667,7,14.783333333333333,21,69,191,27.3191641,Male,2.6166666666666667
340,12.2,52,1.5333333333333334,11,13.3,22,73,192,25.95842032,Male,2.8
200,8.7,34,1.7333333333333334,10,16.616666666666667,23,71,153,21.38378697,Male,2.7333333333333334
180,4.8,14,2.2,3,16.116666666666667,22,64,123,21.65651735,Female,3.9
300,11.4,37,1.45,15,12.733333333333333,24,73,210,28.26885564,Male,2.5166666666666666
260,8.4,43,1.6666666666666667,12,15.433333333333334,22,74,194,25.5165218,Male,2.8666666666666667
260,8.7,40,1.7166666666666666,12,16.2,22,72,178,24.31881656,Male,2.716666666666667
280,11.5,32,1.6666666666666667,12,15.166666666666666,21,75,184,22.92125796,Male,3.1333333333333333
300,10.6,38,1.5166666666666666,4,12.233333333333333,22,73,198,26.50205216,Male,2.5166666666666666
220,8.8,33,1.85,12,15.833333333333334,22,68,150,23.54244365,Male,3.2
240,9.1,35,1.9833333333333334,7,15.216666666666667,22,70,164,23.52929034,Male,2.8833333333333333
220,8.6,27,1.6666666666666667,10,15.083333333333334,21,66,173,26.52448651,Male,2.85
170,4.7,25,1.8,13,13.55,22,68,146,21.94090579,Female,3.3
260,9.5,45,1.4666666666666666,15,15.216666666666667,22,70,169,24.86113697,Male,2.4833333333333334
340,14.2,31,1.4,15,14.383333333333333,24,78,209,23.73966257,Male,2.9
240,10.5,26,1.55,2,16.45,23,71,221,30.18887573,Male,3.1166666666666667
300,10.5,46,1.6666666666666667,16,14.383333333333333,22,71,185,24.73524868,Male,2.05
300,10.4,30,1.5333333333333334,6,15.116666666666667,22,73,198,25.64873176,Male,2.6166666666666667
260,7.6,29,1.8833333333333333,8,14.6,23,71,206,29.04458499,Male,2.85
300,8.4,44,1.6,10,15.3,23,72,224,29.08619066,Male,3.0166666666666666
260,10.4,45,1.6833333333333333,10,14.616666666666667,22,68,179,26.34096655,Male,2.9833333333333334
300,11.2,29,1.5,4,14.816666666666666,22,71,205,27.31749992,Male,3.0166666666666666
260,10.6,34,1.5,10,16.05,22,73,198,26.50205216,Male,2.5833333333333335
260,10.5,26,1.7,12,17.866666666666667,21,68,180,26.63693246,Male,2.816666666666667
340,7.8,35,1.8333333333333333,15,15.616666666666667,21,68,175,25.4530688,Male,3.0166666666666666
340,10.3,35,1.55,10,15,21,72,201,27.39360946,Male,2.466666666666667
240,8.6,23,1.7,9,17.166666666666668,22,70,182,25.73752828,Male,3.3
